Dataset,Fold,Model,Versao,MSE,MAE
a1,5,RF,RO,442.60509182051277,15.042230769230768
a1,5,RF,Hardness-RO,448.6930866923078,15.665358974358977
a1,5,BAGGING,Original,461.0977589743589,14.916410256410257
a1,5,BAGGING,RO,478.87809487179493,15.890512820512818
a1,5,BAGGING,Hardness-RO,450.8346384615384,15.832051282051278
a2,1,SVR,Original,92.67689986070235,6.247591649358182
a2,1,SVR,RO,71.49566497639935,6.658338605684236
a2,1,SVR,Hardness-RO,87.2420557664268,6.383600973148011
a2,1,NNET,Original,4352306.484361678,672.5128148747377
a2,1,NNET,RO,6572932.886109662,828.3453250302248
a2,1,NNET,Hardness-RO,5377931.009910038,758.4719639380666
a2,1,XGB,Original,67.00842634699099,5.8542748628556724
a2,1,XGB,RO,113.09652493696254,7.1866648028232145
a2,1,XGB,Hardness-RO,93.9958741365894,6.723393426463008
a2,1,RF,Original,57.54820804999997,5.629849999999999
a2,1,RF,RO,56.650524825000005,5.721975
a2,1,RF,Hardness-RO,62.85074484999999,6.1155
a2,1,BAGGING,Original,53.47116249999999,5.58425
a2,1,BAGGING,RO,61.607877499999994,5.898750000000001
a2,1,BAGGING,Hardness-RO,89.8932575,6.72275
a2,2,SVR,Original,314.3317497328059,9.926656818129231
a2,2,SVR,RO,289.71300260124315,11.311841258385984
a2,2,SVR,Hardness-RO,306.901027647162,9.617681431893116
a2,2,NNET,Original,158887.13946851128,164.50344647424487
a2,2,NNET,RO,178222.05189946492,220.7782835208208
a2,2,NNET,Hardness-RO,273767.47181408206,187.38847007069216
a2,2,XGB,Original,290.1448080099001,10.379950196221468
a2,2,XGB,RO,243.2461103290575,9.205690634325146
a2,2,XGB,Hardness-RO,264.99224379159807,10.058222316447644
a2,2,RF,Original,252.25833997499998,9.649375
a2,2,RF,RO,258.7786752,9.828700000000001
a2,2,RF,Hardness-RO,258.0203273,9.879150000000001
a2,2,BAGGING,Original,285.95072,10.2245
a2,2,BAGGING,RO,282.2576399999999,10.403500000000001
a2,2,BAGGING,Hardness-RO,284.79531,10.1715
a2,3,SVR,Original,87.93681866881583,5.606579180120116
a2,3,SVR,RO,66.23225432272292,6.2673003315528595
a2,3,SVR,Hardness-RO,89.55713942300906,5.751403237995856
a2,3,NNET,Original,444558.16033367196,199.37628138465845
a2,3,NNET,RO,557596.6206492616,225.71799774599268
a2,3,NNET,Hardness-RO,524878.5823043596,224.71820416504715
a2,3,XGB,Original,66.59091683076795,5.167565211644396
a2,3,XGB,RO,69.65573494169665,5.44920525982976
a2,3,XGB,Hardness-RO,66.40191699621728,5.332295277528464
a2,3,RF,Original,64.838292225,5.7261750000000005
a2,3,RF,RO,74.81806292499998,6.060874999999999
a2,3,RF,Hardness-RO,61.56393362499999,5.0478749999999994
a2,3,BAGGING,Original,74.22732749999999,5.95775
a2,3,BAGGING,RO,61.36947499999999,5.386
a2,3,BAGGING,Hardness-RO,70.02615499999999,5.33
a2,4,SVR,Original,114.34380929248582,6.576418859316625
a2,4,SVR,RO,95.24782847400529,6.861840304244497
a2,4,SVR,Hardness-RO,107.6017575299931,6.6504048644680145
a2,4,NNET,Original,388599.1629305604,209.05787406947678
a2,4,NNET,RO,244108.94897147836,227.96616425621897
a2,4,NNET,Hardness-RO,469729.534855492,242.64756203675984
a2,4,XGB,Original,167.99529402972925,9.226354989256615
a2,4,XGB,RO,168.392151183309,9.579921529652218
a2,4,XGB,Hardness-RO,144.79020205581048,8.524847190960863
a2,4,RF,Original,120.3830135897436,7.976000000000002
