Dataset,Fold,Model,Versao,MSE,MAE
a2,5,NNET,RO,166355.77875144724,184.54084933133822
a2,5,NNET,Hardness-RO,94390.8629903308,160.676089743682
a2,5,XGB,Original,113.20894122365641,6.976061046868561
a2,5,XGB,RO,140.92685431914185,8.865464599315935
a2,5,XGB,Hardness-RO,109.24790540614038,7.8795312337386285
a2,5,RF,Original,56.385929974358966,5.419051282051284
a2,5,RF,RO,137.4761880706294,9.24699963505972
a2,5,RF,Hardness-RO,97.43169745299116,8.087809378957795
a2,5,BAGGING,Original,60.23047948717949,5.4371794871794865
a2,5,BAGGING,RO,119.46306942995369,8.778222675527827
a2,5,BAGGING,Hardness-RO,127.0764844021431,9.352877869423638
a3,1,SVR,Original,97.2596417924558,5.169333132238587
a3,1,SVR,RO,83.86125054923086,6.711947656791819
a3,1,SVR,Hardness-RO,89.87530257158241,6.416396522907769
a3,1,NNET,Original,3819247.5910385204,662.6219124710913
a3,1,NNET,RO,34631504.18694346,2838.362595215407
a3,1,NNET,Hardness-RO,6382110.164881415,814.2029451414177
a3,1,XGB,Original,88.87792823942735,5.643376178145408
a3,1,XGB,RO,78.76543307881153,5.76039288751781
a3,1,XGB,Hardness-RO,80.55396615921809,6.452310439199209
a3,1,RF,Original,76.79023465,5.289949999999999
a3,1,RF,RO,75.67354594711865,6.042667885913263
a3,1,RF,Hardness-RO,80.88728982938099,6.591368780922482
a3,1,BAGGING,Original,78.11350499999999,5.6405
a3,1,BAGGING,RO,84.21774929975575,6.43389632079096
a3,1,BAGGING,Hardness-RO,83.78508702850523,6.664387517939342
a3,2,SVR,Original,51.099852441091336,3.526251856373945
a3,2,SVR,RO,62.12829857429995,6.273229648076251
a3,2,SVR,Hardness-RO,47.81628687339362,4.314060541452106
a3,2,NNET,Original,158456.5570716448,161.44778706816538
a3,2,NNET,RO,664725.9437234342,241.25089692870955
a3,2,NNET,Hardness-RO,251463.53049932886,203.1229791209187
a3,2,XGB,Original,47.448421983825725,4.512273826543241
a3,2,XGB,RO,77.93170068792637,6.289922728762031
a3,2,XGB,Hardness-RO,62.435618738117476,5.911672077775002
a3,2,RF,Original,46.57295487500001,4.649275
a3,2,RF,RO,75.06218926064994,6.742301338523324
a3,2,RF,Hardness-RO,54.01446046778604,5.6847604123139135
a3,2,BAGGING,Original,47.355517500000005,4.87425
a3,2,BAGGING,RO,69.72945047279742,6.342137362950308
a3,2,BAGGING,Hardness-RO,52.725787559598004,5.608861371793313
a3,3,SVR,Original,52.86572539900662,4.468083746659955
a3,3,SVR,RO,57.28775768329556,6.022986370900686
a3,3,SVR,Hardness-RO,44.09063911135334,4.97533801034063
a3,3,NNET,Original,456863.9419584859,202.0407296267963
a3,3,NNET,RO,3165980.751780808,722.2961960506642
a3,3,NNET,Hardness-RO,902704.5843381893,312.58486253043696
a3,3,XGB,Original,82.32161203266308,6.3858657626062625
a3,3,XGB,RO,75.08174338627158,6.498807478100062
a3,3,XGB,Hardness-RO,55.507614114365744,5.235598093271255
a3,3,RF,Original,57.411789875,5.521625
a3,3,RF,RO,65.80956164735065,6.249871174236323
a3,3,RF,Hardness-RO,45.967041485851254,5.238475933232267
a3,3,BAGGING,Original,54.42516500000001,5.361
a3,3,BAGGING,RO,64.90519951265046,6.17182514901163
a3,3,BAGGING,Hardness-RO,45.27378202329087,5.342236330795846
a3,4,SVR,Original,32.528423620410166,3.22771889420432
a3,4,SVR,RO,41.48024048012241,5.205883021228924
a3,4,SVR,Hardness-RO,34.319286079175825,3.4055952461167007
a3,4,NNET,Original,399446.6482073788,214.1368637652896
a3,4,NNET,RO,5403550.576842046,1352.5013201948277
a3,4,NNET,Hardness-RO,658823.2877765176,332.95516295092887
a3,4,XGB,Original,52.283033284747155,4.919798816769169
a3,4,XGB,RO,80.98175819214349,6.252083422128971
a3,4,XGB,Hardness-RO,56.208770844809315,5.299063905385824
a3,4,RF,Original,47.700331666666656,4.915358974358973
a3,4,RF,RO,58.005341142056096,5.465930888117966
a3,4,RF,Hardness-RO,52.88785907949277,5.635734115062835
a3,4,BAGGING,Original,45.56156410256411,4.783076923076923
a3,4,BAGGING,RO,66.76715479276733,5.90836532193078
a3,4,BAGGING,Hardness-RO,59.873615135152264,5.93998689139831
a3,5,SVR,Original,40.62311140174397,3.8198816048523305
a3,5,SVR,RO,41.102548722740416,5.214415437973313
