Dataset,Fold,Model,Versao,MSE,MAE
a2,1,XGB,Hardness-RO,35.742261390411024,4.613664134480059
a2,1,RF,Original,57.54820804999997,5.629849999999999
a2,1,RF,RO,73.36367427499995,6.058075
a2,1,RF,Hardness-RO,53.605875149999996,5.5352500000000004
a2,1,BAGGING,Original,53.47116249999999,5.58425
a2,1,BAGGING,RO,86.12857249999999,6.23775
a2,1,BAGGING,Hardness-RO,70.31393999999999,6.011
a2,2,SVR,Original,314.3317497328059,9.926656818129231
a2,2,SVR,RO,305.51007619790454,11.503767521188822
a2,2,SVR,Hardness-RO,317.0128496868497,9.598269293265114
a2,2,NNET,Original,158887.13946851128,164.50344647424487
a2,2,NNET,RO,172490.46676682043,190.47771540073467
a2,2,NNET,Hardness-RO,1054032.448926157,524.3165035129653
a2,2,XGB,Original,290.1448080099001,10.379950196221468
a2,2,XGB,RO,242.0796752175579,9.17459861602634
a2,2,XGB,Hardness-RO,278.8275954514465,10.62538037031889
a2,2,RF,Original,252.25833997499998,9.649375
a2,2,RF,RO,247.43618187500002,9.818375
a2,2,RF,Hardness-RO,254.49903614999994,9.534200000000002
a2,2,BAGGING,Original,285.95072,10.2245
a2,2,BAGGING,RO,258.14148,10.2575
a2,2,BAGGING,Hardness-RO,288.64257000000003,10.3055
a2,3,SVR,Original,87.93681866881583,5.606579180120116
a2,3,SVR,RO,66.90311589919813,6.438688055985969
a2,3,SVR,Hardness-RO,81.07122103932522,5.685685560295073
a2,3,NNET,Original,444558.16033367196,199.37628138465845
a2,3,NNET,RO,601884.4927823382,235.4346299125294
a2,3,NNET,Hardness-RO,477029.21965079196,203.27721805518755
a2,3,XGB,Original,66.59091683076795,5.167565211644396
a2,3,XGB,RO,89.01507615459465,6.2485189654305575
a2,3,XGB,Hardness-RO,86.79171720126467,5.933319208621978
a2,3,RF,Original,64.838292225,5.7261750000000005
a2,3,RF,RO,83.30657314999999,6.404349999999999
a2,3,RF,Hardness-RO,69.34613799999997,5.471399999999999
a2,3,BAGGING,Original,74.22732749999999,5.95775
a2,3,BAGGING,RO,78.9267625,5.99575
a2,3,BAGGING,Hardness-RO,85.90554,6.3655
a2,4,SVR,Original,114.34380929248582,6.576418859316625
a2,4,SVR,RO,93.94804573227455,6.945191299588437
a2,4,SVR,Hardness-RO,115.70339908962215,6.5922652765379945
a2,4,NNET,Original,388599.1629305604,209.05787406947678
a2,4,NNET,RO,439336.8648491867,293.2962681479766
a2,4,NNET,Hardness-RO,302382.27940147073,229.31299447864492
a2,4,XGB,Original,167.99529402972925,9.226354989256615
a2,4,XGB,RO,131.281787098452,8.192069922024624
a2,4,XGB,Hardness-RO,167.52878039884138,9.566314995527652
a2,4,RF,Original,120.3830135897436,7.976000000000002
a2,4,RF,RO,138.50490233333335,8.608025641025643
a2,4,RF,Hardness-RO,120.68864346153848,8.122794871794873
a2,4,BAGGING,Original,135.9143846153846,8.26153846153846
a2,4,BAGGING,RO,152.9237717948718,9.246410256410256
a2,4,BAGGING,Hardness-RO,117.47513076923079,7.622307692307692
a2,5,SVR,Original,61.60748097025151,5.30217678081809
a2,5,SVR,RO,72.78264899441551,6.798823041718092
a2,5,SVR,Hardness-RO,60.03359025125923,5.309386342987054
a2,5,NNET,Original,98243.76908656617,147.91538463019134
a2,5,NNET,RO,101559.10146744635,165.22504785996372
a2,5,NNET,Hardness-RO,148667.21873801068,191.85800850012933
a2,5,XGB,Original,113.20894122365641,6.976061046868561
a2,5,XGB,RO,112.17772117117846,7.259701335200895
a2,5,XGB,Hardness-RO,108.74138039140857,7.431458198030789
a2,5,RF,Original,56.385929974358966,5.419051282051284
a2,5,RF,RO,77.36452592307693,6.108589743589742
a2,5,RF,Hardness-RO,59.220308743589754,5.71351282051282
a2,5,BAGGING,Original,60.23047948717949,5.4371794871794865
a2,5,BAGGING,RO,79.12564871794872,5.952564102564104
a2,5,BAGGING,Hardness-RO,71.83231794871793,6.059487179487179
a3,1,SVR,Original,97.2596417924558,5.169333132238587
a3,1,SVR,RO,84.28037428044331,5.570364642802875
a3,1,SVR,Hardness-RO,97.20435929656041,5.234794484441361
a3,1,NNET,Original,3819247.5910385204,662.6219124710913
a3,1,NNET,RO,6626694.11016974,816.7056807953558
a3,1,NNET,Hardness-RO,6070681.1087531205,777.4575172346033
a3,1,XGB,Original,88.87792823942735,5.643376178145408
a3,1,XGB,RO,92.45450107166653,6.1219183310866345
a3,1,XGB,Hardness-RO,78.61722826758927,5.10078788581537
a3,1,RF,Original,76.79023465,5.289949999999999
a3,1,RF,RO,78.40306952499998,5.4910250000000005
a3,1,RF,Hardness-RO,76.666164925,5.353425
a3,1,BAGGING,Original,78.11350499999999,5.6405
a3,1,BAGGING,RO,78.37346749999999,5.3652500000000005
a3,1,BAGGING,Hardness-RO,82.29116249999998,5.41275
a3,2,SVR,Original,51.099852441091336,3.526251856373945
a3,2,SVR,RO,55.381433307787844,4.872458324530047
a3,2,SVR,Hardness-RO,51.882156610384854,3.6466318259820114
a3,2,NNET,Original,158456.5570716448,161.44778706816538
a3,2,NNET,RO,142552.06552899737,166.29135802242826
a3,2,NNET,Hardness-RO,239071.9224631527,198.34158382134945
a3,2,XGB,Original,47.448421983825725,4.512273826543241
a3,2,XGB,RO,61.865092968735894,4.600272685042582
a3,2,XGB,Hardness-RO,47.573481919791504,4.470558678209782
a3,2,RF,Original,46.57295487500001,4.649275
a3,2,RF,RO,48.6537522,4.6552
a3,2,RF,Hardness-RO,44.791173924999995,4.612225
a3,2,BAGGING,Original,47.355517500000005,4.87425
a3,2,BAGGING,RO,50.45453500000001,4.871
a3,2,BAGGING,Hardness-RO,34.819714999999995,4.018000000000001
a3,3,SVR,Original,52.86572539900662,4.468083746659955
a3,3,SVR,RO,51.085302461490514,5.1888090092222425
a3,3,SVR,Hardness-RO,50.60563766246908,4.398544270540725
a3,3,NNET,Original,456863.9419584859,202.0407296267963
a3,3,NNET,RO,903302.544104812,345.12135017148455
a3,3,NNET,Hardness-RO,710042.7166072044,317.99566545534697
a3,3,XGB,Original,82.32161203266308,6.3858657626062625
a3,3,XGB,RO,72.43619468359358,6.126795093417168
a3,3,XGB,Hardness-RO,72.49511313643912,6.3245308745652435
a3,3,RF,Original,57.411789875,5.521625
a3,3,RF,RO,71.60789574999998,6.0495
a3,3,RF,Hardness-RO,52.104182225,5.318325
a3,3,BAGGING,Original,54.42516500000001,5.361
a3,3,BAGGING,RO,68.0855425,6.06925
a3,3,BAGGING,Hardness-RO,55.954205,5.683999999999999
a3,4,SVR,Original,32.528423620410166,3.22771889420432
a3,4,SVR,RO,30.058051562909633,3.7041706980822093
a3,4,SVR,Hardness-RO,33.018265833216084,3.342084615780278
a3,4,NNET,Original,399446.6482073788,214.1368637652896
a3,4,NNET,RO,360030.20634162775,256.89884166194594
a3,4,NNET,Hardness-RO,289846.54378535494,200.01164866303608
a3,4,XGB,Original,52.283033284747155,4.919798816769169
a3,4,XGB,RO,59.76822865347742,5.508719278069643
a3,4,XGB,Hardness-RO,60.52482375003134,5.407456810619587
a3,4,RF,Original,47.700331666666656,4.915358974358973
a3,4,RF,RO,50.04298874358975,4.993820512820513
a3,4,RF,Hardness-RO,50.125151717948675,5.027717948717948
a3,4,BAGGING,Original,45.56156410256411,4.783076923076923
a3,4,BAGGING,RO,54.4564282051282,5.314102564102563
a3,4,BAGGING,Hardness-RO,52.27577179487181,5.1612820512820505
a3,5,SVR,Original,40.62311140174397,3.8198816048523305
a3,5,SVR,RO,35.53683038411902,4.536922884616552
a3,5,SVR,Hardness-RO,42.16062868528069,3.887019576990317
a3,5,NNET,Original,122244.90439402123,162.21288280764333
a3,5,NNET,RO,229369.36862273194,273.7603610982656
a3,5,NNET,Hardness-RO,107228.80345307359,171.02223832325495
a3,5,XGB,Original,78.82732590785015,5.506724788592411
a3,5,XGB,RO,63.65673818624553,5.435303297944557
a3,5,XGB,Hardness-RO,75.28601344757341,5.128336956442739
a3,5,RF,Original,45.81172628205126,4.3263846153846135
a3,5,RF,RO,45.01019464102563,4.486589743589742
a3,5,RF,Hardness-RO,39.44360171794871,3.9002820512820504
a3,5,BAGGING,Original,74.56359230769232,5.706410256410257
a3,5,BAGGING,RO,39.13803846153846,4.4192307692307695
a3,5,BAGGING,Hardness-RO,32.48597948717948,3.83076923076923
a7,1,SVR,Original,43.099035904799095,2.9126950893845596
a7,1,SVR,RO,37.82800714745538,3.3419727950861513
a7,1,SVR,Hardness-RO,41.20590531522998,3.0734572811024834
a7,1,NNET,Original,3511102.8602076396,626.8560206976329
a7,1,NNET,RO,9305291.937355964,1014.7079443133003
a7,1,NNET,Hardness-RO,5601151.404143396,774.4915076302084
a7,1,XGB,Original,18.525240074364316,2.536148955971002
a7,1,XGB,RO,28.144183063470926,3.0766233901772653
a7,1,XGB,Hardness-RO,22.842524855172048,2.826328153256327
a7,1,RF,Original,27.803802774999998,3.105625
a7,1,RF,RO,30.233233899999995,3.5254999999999996
a7,1,RF,Hardness-RO,27.126307924999992,3.1332750000000003
a7,1,BAGGING,Original,29.816605,3.1705
a7,1,BAGGING,RO,36.552162499999994,3.847749999999999
a7,1,BAGGING,Hardness-RO,21.96255,2.9415
a7,2,SVR,Original,11.27165480351918,2.121128699444288
a7,2,SVR,RO,10.459807828280441,2.304621006093127
