Dataset,Fold,Model,Versao,MSE,MAE
a1,4,NNET,RO,817488.6390720386,333.92265528611296
a1,4,NNET,Hardness-RO,417234.08398864727,230.4260694980849
a1,4,XGB,Original,229.33154264066098,10.116223703133754
a1,4,XGB,RO,484.44827506315477,14.383980822257508
a1,4,XGB,Hardness-RO,197.1719186459399,8.908129070661007
a1,4,RF,Original,142.28876707692316,8.321384615384614
a1,4,RF,RO,310.1540831781653,12.525834082118052
a1,4,RF,Hardness-RO,178.12757453846137,9.118384615384615
a1,4,BAGGING,Original,184.0566333333333,9.228974358974357
a1,4,BAGGING,RO,306.1079958713343,12.935374024149263
a1,4,BAGGING,Hardness-RO,160.610241025641,8.71025641025641
a1,5,SVR,Original,720.7554881309131,16.206738415247983
a1,5,SVR,RO,876.507924575709,27.06497509625541
a1,5,SVR,Hardness-RO,818.2703707810768,16.989778548795123
a1,5,NNET,Original,353505.17185836955,216.04394548685494
a1,5,NNET,RO,3327843.6432285593,506.0801624522245
a1,5,NNET,Hardness-RO,77376.78645982547,126.52940907187943
a1,5,XGB,Original,500.5943172804888,15.637222002714111
a1,5,XGB,RO,388.43026331774087,13.79407576972571
a1,5,XGB,Hardness-RO,413.91477269089074,14.56414883549397
a1,5,RF,Original,445.03460820512834,15.40174358974359
a1,5,RF,RO,382.0492354581815,14.677436012319136
a1,5,RF,Hardness-RO,424.57912802648326,15.075830342705459
a1,5,BAGGING,Original,461.0977589743589,14.916410256410257
a1,5,BAGGING,RO,370.4852741919653,14.370724155429212
a1,5,BAGGING,Hardness-RO,465.08946155968255,16.00523626527586
a2,1,SVR,Original,92.67689986070235,6.247591649358182
a2,1,SVR,RO,132.09016239983143,10.468792463494973
a2,1,SVR,Hardness-RO,90.54201717582872,7.020829703799182
a2,1,NNET,Original,4352306.484361678,672.5128148747377
a2,1,NNET,RO,6223971.382286048,732.6988881385266
a2,1,NNET,Hardness-RO,4982442.049014276,680.6521765856894
a2,1,XGB,Original,67.00842634699099,5.8542748628556724
a2,1,XGB,RO,119.79462229808186,7.945016996897758
a2,1,XGB,Hardness-RO,62.72347650398922,5.764284812882542
a2,1,RF,Original,57.54820804999997,5.629849999999999
a2,1,RF,RO,88.80604134988171,7.956156999660754
a2,1,RF,Hardness-RO,65.59314060829558,5.865296900808462
a2,1,BAGGING,Original,53.47116249999999,5.58425
a2,1,BAGGING,RO,127.936465543326,8.726522986395981
a2,1,BAGGING,Hardness-RO,69.19596666000469,5.754108900364039
a2,2,SVR,Original,314.3317497328059,9.926656818129231
a2,2,SVR,RO,298.35127338043003,13.313886990534979
a2,2,SVR,Hardness-RO,320.88986938666704,9.635475530601349
a2,2,NNET,Original,158887.13946851128,164.50344647424487
a2,2,NNET,RO,287549.6495898331,199.94562896284975
a2,2,NNET,Hardness-RO,465354.8629176555,230.3496912736633
a2,2,XGB,Original,290.1448080099001,10.379950196221468
a2,2,XGB,RO,254.18433365669506,9.749173524938524
a2,2,XGB,Hardness-RO,292.6688967258163,10.18686083462089
a2,2,RF,Original,252.25833997499998,9.649375
a2,2,RF,RO,252.32847443450356,10.58110013508997
a2,2,RF,Hardness-RO,269.7428129984185,9.418719725035384
a2,2,BAGGING,Original,285.95072,10.2245
a2,2,BAGGING,RO,263.4531977972468,10.65347187928973
a2,2,BAGGING,Hardness-RO,276.49638596088323,9.713735495215698
a2,3,SVR,Original,87.93681866881583,5.606579180120116
a2,3,SVR,RO,178.1727285948285,12.66166801368534
a2,3,SVR,Hardness-RO,84.13945854615783,6.419244934098087
a2,3,NNET,Original,444558.16033367196,199.37628138465845
a2,3,NNET,RO,993806.9495672599,352.41684491363935
a2,3,NNET,Hardness-RO,725434.9084476136,273.21675767844937
a2,3,XGB,Original,66.59091683076795,5.167565211644396
a2,3,XGB,RO,136.12980953547532,8.26871783208102
a2,3,XGB,Hardness-RO,82.9350910116342,6.450986536964774
a2,3,RF,Original,64.838292225,5.7261750000000005
a2,3,RF,RO,142.54805737470497,8.685299262956473
a2,3,RF,Hardness-RO,74.46673847959849,6.289170214853156
a2,3,BAGGING,Original,74.22732749999999,5.95775
a2,3,BAGGING,RO,134.03283598931426,8.593098293170268
a2,3,BAGGING,Hardness-RO,71.7423213102434,6.31972796223396
a2,4,SVR,Original,114.34380929248582,6.576418859316625
a2,4,SVR,RO,257.71007687758396,14.867112698274791
a2,4,SVR,Hardness-RO,110.15066100437954,7.038402845476669
a2,4,NNET,Original,388599.1629305604,209.05787406947678
a2,4,NNET,RO,533945.6994009638,339.54346294635036
a2,4,NNET,Hardness-RO,470163.7637269153,210.0586286882563
a2,4,XGB,Original,167.99529402972925,9.226354989256615
a2,4,XGB,RO,194.43875628109924,10.156957772261919
a2,4,XGB,Hardness-RO,149.62094663044022,9.081507151554792
a2,4,RF,Original,120.3830135897436,7.976000000000002
a2,4,RF,RO,145.21031219249673,8.802664173901693
a2,4,RF,Hardness-RO,114.2632772805704,8.284839876231887
a2,4,BAGGING,Original,135.9143846153846,8.26153846153846
a2,4,BAGGING,RO,132.89083668494297,8.394964273518347
a2,4,BAGGING,Hardness-RO,118.68205950666936,8.472339778308493
a2,5,SVR,Original,61.60748097025151,5.30217678081809
a2,5,SVR,RO,180.54425516886081,12.493205361835265
a2,5,SVR,Hardness-RO,54.05149432775333,5.606319127474516
a2,5,NNET,Original,98243.76908656617,147.91538463019134
a2,5,NNET,RO,265212.0713197952,226.9412168247946
a2,5,NNET,Hardness-RO,181735.54985609406,206.38398582080086
a2,5,XGB,Original,113.20894122365641,6.976061046868561
a2,5,XGB,RO,99.46793285790031,7.31364605713349
a2,5,XGB,Hardness-RO,50.35762962558866,5.043418138531537
a2,5,RF,Original,56.385929974358966,5.419051282051284
a2,5,RF,RO,103.72904889181024,8.528949170449282
a2,5,RF,Hardness-RO,46.03947799625017,5.350305550055075
a2,5,BAGGING,Original,60.23047948717949,5.4371794871794865
a2,5,BAGGING,RO,90.01637069760534,7.790251193636232
a2,5,BAGGING,Hardness-RO,50.27487535956603,5.282552268340566
a3,1,SVR,Original,97.2596417924558,5.169333132238587
a3,1,SVR,RO,86.34199055100252,6.963510587865414
a3,1,SVR,Hardness-RO,94.49990297481416,5.38719495650229
a3,1,NNET,Original,3819247.5910385204,662.6219124710913
a3,1,NNET,RO,5308075.134049764,768.5471507998725
a3,1,NNET,Hardness-RO,5513591.644035706,753.102117181124
a3,1,XGB,Original,88.87792823942735,5.643376178145408
a3,1,XGB,RO,97.23378364384561,6.465645894352346
a3,1,XGB,Hardness-RO,80.54424561203,5.712037399113178
a3,1,RF,Original,76.79023465,5.289949999999999
a3,1,RF,RO,81.51844327454425,6.056817319011936
a3,1,RF,Hardness-RO,81.76287863366356,5.827228275808275
a3,1,BAGGING,Original,78.11350499999999,5.6405
a3,1,BAGGING,RO,85.53048123146625,6.069846045136973
